ParameterName,DB_Menucode,KP_Menucode,Result,DB_DefaultValue,KP_DefaultValue,Result,DB_MinValue,KP_MinValue,Result,DB_MaxValue,KP_MaxValue,Result,DB_Unit,KP_Unit,Result,DB_Info,KP_Info,Result
Sensor Type,SEn,SEn,True,NTC5K,NTC5K,True,NTC5K,,False,PTC,,False,,,True,"Sensor type being used (All sensors must be of same type)
NTC5K - NTC 5000 Ohm at 25 °C, (Beta value=3980 at 25/100 °C - e.g. EKS 211)
NTC10K - NTC 10000 Ohm at 25 °C, (Beta value=3435 at 25/85 °C - e.g. EKS 221)
PTC - PTC 990 ","Sensor type being used (All sensors must be of same type)NTC5K - NTC 5000 Ohm at 25 °C, (Beta value=3980 at 25/100 °C - e.g. EKS 211)NTC10K - NTC 10000 Ohm at 25 °C, (Beta value=3435 at 25/85 °C - e.g. EKS 221)PTC - PTC 990 ",False
S2 Config,S2c,S2c,True,EuA,EuA,True,nC,,False,dES,,False,,,True,"Desired configuration for S2 port
nC- Not used/configured
Con- Condenser Sensor
EuA- Defrost/evap Sensor
doC- Door Sensor (Normally closed type)
doo- Door Sensor (Normally open type)
ESP- Eco Switch - Push button type
ESt- ECO Switch - Toggle type
Pud- Pull down switch - Push Button type only
dES- Defrost switch -- Push Button type only","Desired configuration for S2 portnC- Not used/configuredCon- Condenser SensorEuA- Defrost/evap SensordoC- Door Sensor (Normally closed type)doo- Door Sensor (Normally open type)ESP- Eco Switch - Push button typeEST- ECO Switch - Toggle typePud- Pull down switch - Push Button type onlydES- Defrost switch -- Push Button type only",False
S3 Config,S3c,S3c,True,nC,nC,True,nC,,False,dES,,False,,,True,"Desired configuration for S3 port
nC- Not used/configured
Con- Condenser Sensor
EuA- Defrost/evap Sensor
doC- Door Sensor (Normally closed type)
doo- Door Sensor (Normally open type)
ESP- Eco Switch - Push button type
ESt- ECO Switch - Toggle type
Pud- Pull down switch - Push Button type only
dES- Defrost switch -- Push Button type only","Desired configuration for S3 portnC- Not used/configuredCon- Condenser SensorEuA- Defrost/evap SensordoC- Door Sensor (Normally closed type)doo- Door Sensor (Normally open type)ESP- Eco Switch - Push button typeEST- ECO Switch - Toggle typePud- Pull down switch - Push Button type onlydES- Defrost switch -- Push Button type only",False
Relay 2 Config,o2C,o2C,True,dEF,dEF,True,nC,,False,ALA,,False,,,True,"Desired configuration for relay 2
nC-Not Connected
dEF- Configured for defrost heater or defrost valve
FAn- Configured for evaporator fan
LIg - Configured for Cabinet Light
ALA- Configured for External Alarm
Scc - Second compressor","Desired configuration for relay 2nC-Not ConnecteddEF- Configured for defrost heater or defrost valveFAn- Configured for evaporator fanLIg - Configured for Cabinet LightALA- Configured for External AlarmScc - Second compressor",False
Relay 3 Config,o3C,o3C,True,Fan,FAn,False,nC,,False,ALA,,False,,,True,"Desired configuration for relay 2
nC-Not Connected
dEF- Configured for defrost heater or defrost valve
FAn- Configured for evaporator fan
LIg - Configured for Cabinet Light
ALA- Configured for External Alarm
Scc - Second compressor","Desired configuration for relay 3nC-Not ConnecteddEF- Configured for defrost heater or defrost valveFAn- Configured for evaporator fanLIg - Configured for Cabinet LightALA- Configured for External AlarmScc - Second compressor",False
Lowest Temperature Limit,LSE,LSE,True,0,0.00,True,-100,-100.00,True,120,120.00,True,°C,°C,True,Cut out temperature at coldest position of the spindle (thermostat knob),"If cabinet air temperature goes below this value will raise low temperature alarm  (All these alarm status can be viewed only in KoolProg) ",False
Highest Temperature Limit,HSE,HSE,True,10,10.00,True,-100,-100.00,True,120,120.00,True,°C,°C,True,Cut out temperature at warmest position of the spindle (thermostat knob),"If cabinet air temperature goes above this value will raise low temperature alarm ",False
Lowest Temperature Differential,Ldi,Ldi,True,2,2.00,True,1,1.00,True,50,50.00,True,K,K,True,This defines the difference between the cut-out and the cut-in at coldest position of thermostat,This defines the difference between the cut-out and the cut-in at coldest position of thermostat,True
Highest Temperature Differential,Hdi,Hdi,True,2,2.00,True,1,1.00,True,50,50.00,True,K,K,True,This defines the difference between the cut-out and the cut-in at warmest position of thermostat,This defines the difference between the cut-out and the cut-in at warmest position of thermostat,True
Initial pull down ON/OFF,IPE,IPE,True,oFF,Off,False,oFF,,False,on,,False,,,True,"Initial pull down is to provide faster cooling when the cabinet is powered up with warmer inside temperature.  During IPD, defrost will be skipped until cabinet air temperature reaches cut out temperature or IPD duration expires. IPD operates only during power up and can be enabled/disabled using this parameter","Initial pull down is to provide faster cooling when the cabinet is powered up with warmer inside temperature.  During IPD, defrost will be skipped until cabinet air temperature reaches cut out temperature or IPD duration expires. IPD operates only during power up and can be enabled/disabled using this parameter.",False
